单品编码,category,cluster
102900005115168,花叶类,1
102900005115199,花叶类,0
102900005115250,食用菌,1
102900005115625,花叶类,0
102900005115748,花叶类,1
102900005115762,花叶类,1
102900005115779,花叶类,1
102900005115786,花叶类,1
102900005115793,花叶类,0
102900005115823,花叶类,1
102900005115854,花叶类,0
102900005115861,花叶类,1
102900005115878,花叶类,1
102900005115885,花叶类,0
102900005115908,花叶类,1
102900005115946,花叶类,0
102900005115960,花叶类,1
102900005115977,花叶类,0
102900005115984,花叶类,1
102900005116219,辣椒类,0
102900005116226,辣椒类,0
102900005116233,辣椒类,1
102900005116257,茄类,1
102900005116509,茄类,0
102900005116530,食用菌,1
102900005116547,食用菌,1
102900005116639,花叶类,0
102900005116714,花菜类,1
102900005116790,花叶类,1
102900005116837,食用菌,1
102900005116899,水生根茎类,1
102900005116912,食用菌,0
102900005116943,辣椒类,0
102900005117056,辣椒类,1
102900005117209,辣椒类,0
102900005118572,花叶类,1
102900005118817,花叶类,1
102900005118824,水生根茎类,0
102900005118831,花叶类,1
102900005119098,食用菌,0
102900005119104,食用菌,0
102900005119944,食用菌,0
102900005119968,辣椒类,0
102900005119975,花叶类,1
102900005122654,花叶类,1
102900005123880,辣椒类,0
102900005125808,辣椒类,0
102900005125815,食用菌,1
102900011000328,辣椒类,1
102900011000571,花叶类,1
102900011000861,辣椒类,0
102900011001219,辣椒类,0
102900011001561,水生根茎类,1
102900011001691,水生根茎类,0
102900011001806,食用菌,0
102900011001813,食用菌,1
102900011002414,花叶类,0
102900011006689,花叶类,0
102900011006948,花叶类,0
102900011007044,食用菌,0
102900011007464,花叶类,0
102900011007471,花叶类,0
102900011007969,水生根茎类,0
102900011008164,花叶类,1
102900011008515,花叶类,0
102900011008522,花叶类,1
102900011009246,食用菌,0
102900011009277,水生根茎类,1
102900011009444,茄类,1
102900011009970,花菜类,1
102900011010891,水生根茎类,0
102900011011546,食用菌,1
102900011012482,食用菌,0
102900011012994,食用菌,1
102900011013274,食用菌,0
102900011016701,辣椒类,1
102900011016909,茄类,0
102900011018095,食用菌,1
102900011021842,水生根茎类,1
102900011022030,辣椒类,0
102900011022764,茄类,1
102900011022849,花叶类,1
102900011023464,花叶类,1
102900011027479,辣椒类,0
102900011029176,辣椒类,0
102900011029305,辣椒类,0
102900011030042,花叶类,1
102900011030059,花叶类,1
102900011030097,花叶类,1
102900011030103,花叶类,1
102900011030110,花叶类,1
102900011030134,花叶类,1
102900011030141,花叶类,1
102900011030158,花叶类,1
102900011030905,花叶类,0
102900011030912,食用菌,1
102900011030929,食用菌,1
102900011031100,辣椒类,1
102900011031582,辣椒类,1
102900011031926,食用菌,0
102900011031995,食用菌,1
102900011032022,辣椒类,1
102900011032176,花叶类,0
102900011032206,辣椒类,1
102900011032213,辣椒类,0
102900011032220,辣椒类,0
102900011032237,辣椒类,1
102900011032244,辣椒类,0
102900011032251,辣椒类,1
102900011032343,辣椒类,0
102900011032350,辣椒类,0
102900011032367,辣椒类,0
102900011032589,花叶类,0
102900011032619,食用菌,1
102900011032626,食用菌,0
102900011032633,食用菌,0
102900011032640,食用菌,0
102900011032732,水生根茎类,0
102900011032787,花叶类,1
102900011032848,辣椒类,1
102900011033234,花叶类,1
102900011033906,花叶类,1
102900011033920,花叶类,1
102900011033937,食用菌,0
102900011033944,食用菌,0
102900011033975,茄类,0
102900011033982,茄类,1
102900011034026,花菜类,1
102900011034200,花叶类,1
102900011034217,花叶类,1
102900011034224,花叶类,1
102900011034231,花叶类,1
102900011034330,食用菌,1
102900011034439,辣椒类,1
102900011035078,辣椒类,0
102900011035511,水生根茎类,0
102900011035740,食用菌,0
102900011035764,花叶类,0
102900011035771,花叶类,0
102900011035788,食用菌,1
102900051000463,茄类,0
102900051000944,水生根茎类,0
102900051004294,辣椒类,0
102900051009336,食用菌,0
102900051010455,花叶类,1
102900051010790,花叶类,0
106930274220092,食用菌,1
106930274620090,食用菌,1
106949711300068,食用菌,1
106949711300167,食用菌,1
106949711300259,食用菌,1
106956146480197,食用菌,0
106956146480203,食用菌,0
106957634300010,食用菌,1
106957634300058,食用菌,0
106958851400125,食用菌,1
106971533450003,食用菌,1
106971533455008,食用菌,1
106972776821582,花叶类,1
