单品编码,品类,日均销量_kg,需求均值,优化加成率,优化售价_元每kg,优化订货量_kg,优化利润_元
102900005115250,食用菌,4.62,5.05,1.0385,31.8,7.5,76.2
102900005115762,花叶类,8.92,7.77,1.0385,4.5,11.6,14.0
102900005115779,花叶类,2.92,3.81,1.1197,12.04,5.7,20.8
102900005115786,花叶类,13.3,14.42,1.0814,4.48,21.6,30.6
102900005115823,花叶类,3.86,5.56,1.456,10.04,8.4,33.2
102900005115946,花叶类,5.93,5.48,1.2949,7.16,8.3,23.8
102900005116257,茄类,10.9,15.74,1.2493,7.72,22.8,69.7
102900005116509,茄类,3.12,3.02,1.0075,7.99,4.3,11.5
102900005116714,花菜类,12.56,14.24,0.9756,15.0,18.4,86.9
102900005116899,水生根茎类,6.03,5.92,0.9229,19.96,7.0,44.1
102900005118824,水生根茎类,3.0,3.03,0.6,18.67,2.5,0.2
102900005118831,花叶类,10.43,11.29,1.0455,9.0,16.9,55.9
102900005119975,花叶类,4.51,6.27,1.3462,6.1,9.5,23.3
102900011000328,辣椒类,6.84,8.56,0.8378,16.48,12.2,53.5
102900011008164,花叶类,7.49,11.91,1.0625,5.28,17.9,28.1
102900011016701,辣椒类,14.23,17.14,0.9325,7.02,24.5,55.8
102900011022764,茄类,4.21,6.23,1.2143,15.5,9.0,53.8
102900011023464,花叶类,4.9,6.6,1.4259,6.55,10.0,27.0
102900011030059,花叶类,32.29,36.68,1.1428,7.48,55.1,147.0
102900011030097,花叶类,21.29,22.55,1.0662,5.87,33.8,67.4
102900011030110,花叶类,9.8,17.69,0.9295,7.85,24.5,60.3
102900011030929,食用菌,4.0,4.0,1.3654,3.08,6.0,7.5
102900011031100,辣椒类,21.43,22.58,2.2014,6.76,33.9,120.9
102900011032022,辣椒类,11.29,14.39,0.781,3.74,20.3,19.0
102900011032251,辣椒类,11.29,12.97,0.8193,7.8,18.4,37.3
102900011032848,辣椒类,7.0,7.55,1.5601,5.96,11.1,29.2
102900011034026,花菜类,6.3,4.83,0.9203,16.11,6.2,28.6
102900011034330,食用菌,10.0,13.35,0.9337,6.59,19.7,45.9
102900051000944,水生根茎类,4.03,5.04,0.6,28.8,3.6,10.3
106949711300259,食用菌,16.14,21.58,0.8369,2.66,31.6,27.2
106971533450003,食用菌,8.86,12.42,0.7308,3.38,18.1,17.9
