单品编码,品类,日均销量_kg,历史加成率,售价_元每kg,订货量_kg,利润_元
102900005115250,食用菌,4.62,0.5385,24.0,5.7,27.1
102900005115762,花叶类,8.92,0.5385,3.4,9.5,3.7
102900005115779,花叶类,2.92,0.6197,9.2,4.5,6.6
102900005115786,花叶类,13.3,0.5814,3.4,16.7,11.3
102900005115823,花叶类,3.86,0.956,8.0,6.5,16.5
102900005115946,花叶类,5.93,0.7949,5.6,5.9,11.3
102900005116257,茄类,10.9,0.7493,6.0,16.8,32.8
102900005116509,茄类,3.12,0.5075,6.0,3.2,3.8
102900005116714,花菜类,12.56,0.4756,11.2,15.7,34.4
102900005116899,水生根茎类,6.03,0.4229,14.77,6.3,17.6
102900005118824,水生根茎类,3.0,0.1,12.84,4.3,-21.9
102900005118831,花叶类,10.43,0.5455,6.8,11.6,21.2
102900005119975,花叶类,4.51,0.8462,4.8,6.8,10.9
102900011000328,辣椒类,6.84,0.3378,12.0,9.5,12.2
102900011008164,花叶类,7.49,0.5625,4.0,14.1,9.5
102900011016701,辣椒类,14.23,0.4325,5.2,18.2,19.8
102900011022764,茄类,4.21,0.7143,12.0,6.7,24.9
102900011023464,花叶类,4.9,0.9259,5.2,7.4,13.5
102900011030059,花叶类,32.29,0.6428,5.73,40.5,60.9
102900011030097,花叶类,21.29,0.5662,4.45,24.9,26.9
102900011030110,花叶类,9.8,0.4295,5.82,19.5,18.6
102900011030929,食用菌,4.0,0.8654,2.42,4.4,3.8
102900011031100,辣椒类,21.43,1.7014,5.7,24.9,75.5
102900011032022,辣椒类,11.29,0.281,2.69,15.9,2.9
102900011032251,辣椒类,11.29,0.3193,5.66,14.3,6.8
102900011032848,辣椒类,7.0,1.0601,4.8,8.3,15.9
102900011034026,花菜类,6.3,0.4203,11.92,5.3,8.3
102900011034330,食用菌,10.0,0.4337,4.89,13.4,16.3
102900051000944,水生根茎类,4.03,0.1,19.8,6.6,-38.0
106949711300259,食用菌,16.14,0.3369,1.94,21.7,7.9
106971533450003,食用菌,8.86,0.2308,2.4,12.4,3.9
